taxonID;name
224360;Huperzia arctica
1895;Lycopodiella inundata
222424;Lycopodium alpinum
221945;Lycopodium annotinum
224362;Lycopodium annotinum subsp. alpestre
221946;Lycopodium clavatum
224365;Lycopodium clavatum subsp. monostachyon
224359;Lycopodium complanatum subsp. montellii
552;Lycopodium tristachyum
221940;Lycopodium zeilleri
223414;Selaginella selaginoides
219802;Equisetum arvense
224092;Equisetum arvense subsp. alpestre
224091;Equisetum arvense subsp. arvense
221062;Equisetum pratense
221063;Equisetum scirpoides
221064;Equisetum sylvaticum
621;Equisetum telmateia
221066;Equisetum variegatum
164;Botrychium boreale
222112;Botrychium lunaria
6012027;Botrychium lunaria var. lunaria
165;Botrychium lanceolatum
166;Botrychium matricariifolium
167;Botrychium multifidum
168;Botrychium simplex
264286;Botrychium simplex var. simplex
264287;Botrychium tenebrosum
220261;Ophioglossum vulgatum
220865;Pteridium aquilinum
224880;Pteridium aquilinum subsp. aquilinum
224881;Pteridium aquilinum subsp. latiusculum
222741;Cystopteris montana
744;Gymnocarpium robertianum
1228;Asplenium scolopendrium
222765;Woodsia ilvensis
220686;Blechnum spicant
264817;Blechnum spicant var. spicant
222736;Athyrium filix-femina
222748;Dryopteris expansa
224877;Dryopteris expansa var. expansa
222749;Dryopteris filix-mas
222759;Polystichum lonchitis
1547;Taxus baccata
222146;Juniperus communis
224500;Juniperus communis var. communis
224499;Juniperus communis var. saxatilis
221931;Tofieldia pusilla
222592;Narthecium ossifragum
220476;Colchicum autumnale
221913;Fritillaria meleagris
222841;Gagea lutea
221916;Gagea minima
235035;Gagea pomeranica
221917;Gagea pratensis
221926;Lilium martagon
221935;Tulipa sylvestris
221501;Anacamptis morio
49;Anacamptis pyramidalis
289;Cephalanthera damasonium
219769;Cephalanthera longifolia
220073;Chamorchis alpina
219795;Coeloglossum viride
6007431;Coeloglossum viride subsp. viride
219788;Dactylorhiza incarnata
264307;Dactylorhiza incarnata subsp. incarnata
223572;Dactylorhiza incarnata var. cruenta
223578;Dactylorhiza incarnata var. incarnata
219790;Dactylorhiza maculata
223591;Dactylorhiza maculata subsp. fuchsii
223597;Dactylorhiza maculata subsp. maculata
264308;Dactylorhiza majalis
222411;Dactylorhiza majalis subsp. baltica
6002893;Dactylorhiza majalis subsp. elatior
264959;Dactylorhiza majalis subsp. integrata
264961;Dactylorhiza majalis var. integrata
264962;Dactylorhiza majalis var. junialis
514;Dactylorhiza majalis subsp. majalis
219792;Dactylorhiza sambucina
219799;Epipactis palustris
219811;Gymnadenia conopsea
223614;Gymnadenia conopsea subsp. conopsea
741;Gymnadenia conopsea subsp. densiflora
1085;Gymnadenia nigra
742;Gymnadenia odoratissima
743;Gymnadenia runei
770;Herminium monorchis
980;Liparis loeselii
221119;Neotinea ustulata
219847;Neottia ovata
264979;Ophrys apifera
222118;Ophrys insectifera
219864;Orchis mascula
219865;Orchis militaris
1122;Orchis spitzelii
219874;Platanthera bifolia
223619;Platanthera bifolia subsp. bifolia
223621;Platanthera bifolia subsp. latiflora
219875;Platanthera chlorantha
1248;Platanthera obtusata
223622;Platanthera obtusata subsp. oligantha
975;Pseudorchis albida
219882;Pseudorchis straminea
219894;Spiranthes spiralis
264991;Gladiolus imbricatus
219832;Iris germanica
219836;Iris pseudacorus
219839;Iris sibirica
888;Iris spuria
31;Allium carinatum
32;Allium lineare
1850;Allium lusitanicum
219744;Allium oleraceum
219751;Allium schoenoprasum
232476;Allium schoenoprasum subsp. schoenoprasum
223566;Allium schoenoprasum subsp. sibiricum
219752;Allium scorodoprasum
219755;Allium ursinum
219756;Allium vineale
223568;Allium vineale var. purpureum
223569;Allium vineale var. vineale
220145;Galanthus elwesii
219803;Galanthus ikariae
219804;Galanthus nivalis
259744;Galanthus × valentinei
219806;Galanthus woronowii
219844;Leucojum vernum
264320;Leucojum vernum var. carpathicum
264319;Leucojum vernum var. vernum
219580;Narcissus × cyclazetta
219857;Narcissus × incomparabilis
219858;Narcissus × medioluteus
219859;Narcissus poëticus
219860;Narcissus pseudonarcissus
264325;Narcissus pseudonarcissus subsp. major
264324;Narcissus pseudonarcissus subsp. pseudonarcissus
264327;Narcissus pseudonarcissus var. plenus
264326;Narcissus pseudonarcissus var. pseudonarcissus
61;Anthericum liliago
219763;Anthericum ramosum
222176;Asparagus officinalis
222812;Convallaria majalis
219827;Hyacinthoides hispanica
219829;Hyacinthoides non-scripta
219830;Hyacinthus orientalis
223502;Muscari armeniacum
219853;Muscari botryoides
264354;Ornithogalum narbonense
219869;Ornithogalum nutans
219872;Ornithogalum umbellatum
219892;Othocallis siberica
219884;Puschkinia scilloides
219887;Scilla bifolia
222521;Juncus alpinoarticulatus
224770;Juncus alpinoarticulatus subsp. alpestris
224771;Juncus alpinoarticulatus subsp. alpinoarticulatus
264331;Juncus alpinoarticulatus subsp. fischerianus
224773;Juncus alpinoarticulatus subsp. rariflorus
892;Juncus anceps
224777;Juncus arcticus
222524;Juncus articulatus
224782;Juncus articulatus var. articulatus
224784;Juncus articulatus var. lindhardii
222525;Juncus biglumis
893;Juncus capitatus
222531;Juncus conglomeratus
222532;Juncus effusus
222534;Juncus filiformis
235011;Juncus foliosus
894;Juncus inflexus
222541;Juncus squarrosus
222545;Juncus trifidus
222546;Juncus triglumis
224790;Juncus triglumis subsp. triglumis
224798;Luzula arcuata
222569;Luzula campestris
224799;Luzula confusa
1003;Luzula congesta
222571;Luzula divulgata
222573;Luzula multiflora
224804;Luzula multiflora subsp. frigida
224805;Luzula multiflora subsp. multiflora
1002;Luzula nivalis
222575;Luzula pallescens
222576;Luzula parviflora
222578;Luzula spicata
222579;Luzula sudetica
222581;Luzula wahlenbergii
222738;Blysmus compressus
222237;Blysmus rufus
222279;Carex arctogena
222282;Carex atrata
222283;Carex atrofusca
258;Carex bicolor
222285;Carex bigelowii
224583;Carex bigelowii subsp. rigida
222286;Carex binervis
222290;Carex brunnescens
224587;Carex brunnescens var. brunnescens
222291;Carex buxbaumii
224589;Carex buxbaumii subsp. buxbaumii
224591;Carex buxbaumii subsp. mutica
222292;Carex canescens
224602;Carex canescens var. canescens
224603;Carex canescens var. robustior
222293;Carex capillaris
224604;Carex capillaris subsp. capillaris
222294;Carex capitata
222295;Carex caryophyllea
222296;Carex cespitosa
262;Carex colchica
224577;Carex concolor
222301;Carex dioica
222303;Carex distans
222304;Carex disticha
222305;Carex divulsa
224625;Carex divulsa subsp. leersii
222309;Carex ericetorum
224629;Carex ericetorum var. attenuata
224630;Carex ericetorum var. ericetorum
222311;Carex flacca
222313;Carex fuliginosa
224636;Carex fuliginosa subsp. misandra
222314;Carex glacialis
222315;Carex glareosa
224637;Carex glareosa var. amphigena
224638;Carex glareosa var. glareosa
259;Carex hartmaniorum
222320;Carex hirta
261;Carex holostoma
222322;Carex hostiana
224645;Carex hostiana var. eckeroeënsis
224646;Carex hostiana var. hostiana
222324;Carex lachenalii
222346;Carex leporina
222333;Carex mackenziei
222334;Carex macloviana
263;Carex maritima
222338;Carex montana
222339;Carex muricata
221025;Carex myosuroides
264;Carex nardina
222341;Carex nigra
224663;Carex nigra subsp. juncella
224666;Carex nigra subsp. nigra
224670;Carex nigra var. nigra
224671;Carex nigra var. recta
224673;Carex norvegica
265;Carex obtusata
222382;Carex oederi
224694;Carex oederi var. oederi
222344;Carex ornithopoda
222345;Carex otrubae
222348;Carex pairae
266;Carex paleacea
222351;Carex pallescens
1866;Carex pallidula
222352;Carex panicea
222356;Carex pediformis
224678;Carex pediformis subsp. rhizodes
222358;Carex pilulifera
248968;Carex praecox
222361;Carex pulicaris
269;Carex rhynchophysa
222369;Carex rufina
222370;Carex rupestris
222371;Carex saxatilis
224691;Carex saxatilis subsp. saxatilis
222548;Carex simpliciuscula
264383;Carex simpliciuscula subsp. simpliciuscula
222372;Carex spicata
222377;Carex tomentosa
271;Carex vacillans
222380;Carex vaginata
222383;Carex vulpina
222435;Eleocharis quinqueflora
222436;Eleocharis uniglumis
224712;Eleocharis uniglumis subsp. uniglumis
224714;Eleocharis uniglumis var. uniglumis
222464;Eriophorum angustifolium
222467;Eriophorum latifolium
1465;Isolepis setacea
1464;Scirpus radicans
222703;Trichophorum cespitosum
224858;Trichophorum cespitosum subsp. germanicum
222187;Agrostis canina
222188;Agrostis capillaris
222192;Agrostis gigantea
224523;Agrostis gigantea var. dispar
222194;Agrostis mertensii
222198;Agrostis stolonifera
222200;Agrostis vinealis
16;Aira caryophyllea
224528;Aira caryophyllea subsp. caryophyllea
222203;Aira praecox
221392;Alopecurus aequalis
222205;Alopecurus arundinaceus
222207;Alopecurus geniculatus
224535;Alopecurus geniculatus var. geniculatus
222209;Alopecurus pratensis
1851;Alopecurus pratensis subsp. alpestris
224537;Alopecurus pratensis subsp. pratensis
222216;Anisantha sterilis
219764;Anthoxanthum nipponicum
222220;Anthoxanthum odoratum
1856;Apera interrupta
83;Arctophila fulva
222226;Arrhenatherum elatius
224543;Arrhenatherum elatius subsp. bulbosum
224544;Arrhenatherum elatius subsp. elatius
222416;Avenella flexuosa
224702;Avenella flexuosa subsp. corsica
224703;Avenella flexuosa subsp. flexuosa
222496;Avenula pubescens
222239;Brachypodium pinnatum
222242;Briza media
222246;Bromopsis erecta
222247;Bromopsis inermis
175;Bromus commutatus
222255;Bromus hordeaceus
224551;Bromus hordeaceus subsp. hordeaceus
222250;Bromus hordeaceus subsp. pseudothominei
224553;Bromus hordeaceus subsp. thominei
1726;Bromus lepidus
1863;Bromus pseudosecalinus
177;Bromus racemosus
222268;Calamagrostis canescens
222270;Calamagrostis epigejos
222271;Calamagrostis lapponica
264389;Calamagrostis lapponica subsp. lapponica
222272;Calamagrostis phragmitoides
273;Catabrosa aquatica
221399;Corynephorus canescens
221520;Cynosurus cristatus
