taxonID;name
200845;Decapauropus vulgaris
200895;Ophiodesmus albonanus
200891;Propolydesmus testaceus
200859;Archiboreoiulus pallidus
200861;Choneiulus palmatus
200862;Nopoiulus kochii
200867;Unciger foetidus
200871;Cylindroiulus caeruleocinctus
200882;Julus terrestris
200884;Julus scandinavius
200885;Ommatoiulus sabulosus
200899;Geophilus flavus
200902;Geophilus proximus
200905;Pachymerium ferrugineum
200911;Schendyla nemorensis
200926;Lithobius calcaratus
200921;Lithobius erythrocephalus
200915;Lithobius forficatus
200925;Lithobius lucifugus
200924;Lithobius pelidnus
200930;Lamyctes emarginatus
200933;Scolopendrellopsis subnuda
100321;Antipalus varipes
100405;Asilus crabroniformis
236180;Tolmerus cingulatus
236181;Tolmerus atricapillus
236182;Rhadiurgus variabilis
236183;Philonicus albiceps
236184;Pamponerus germanicus
102093;Machimus arthriticus
236188;Machimus setibarbus
236192;Eutolmus rufibarbis
236194;Dysmachus trigonus
236195;Didysmachus picipes
101192;Leptarthrus vitripennis
236200;Leptarthrus brevirostris
236208;Leptogaster guttiventris
236209;Leptogaster cylindrica
236210;Dioctria rufipes
236211;Dioctria oelandica
236212;Dioctria hyalipennis
236214;Dioctria atricapilla
236219;Lasiopogon cinctus
102099;Anthrax trifasciatus
236158;Anthrax varius
236167;Hemipenthes maura
236168;Hemipenthes morio
236174;Thyridanthrax fenestratus
236176;Villa halteralis
236177;Villa hottentotta
236198;Villa longicornis
236178;Villa modesta
102098;Bombylius medius
236159;Bombylius major
236160;Bombylius minor
236172;Systoechus ctenopterus
101225;Lomatia lateralis
236170;Phthiria canescens
236171;Phthiria pulicaria
236179;Glabellula arctica
236296;Acrosathe annulata
236297;Dialineura anilis
102090;Pandivirilia melaleuca
236299;Pandivirilia eximia
236301;Spiriverpa lunulata
101897;Thereva marginula
236305;Thereva fuscinervis
236307;Thereva inornata
236309;Thereva nobilitata
236311;Thereva strigata
236313;Thereva unica
236314;Thereva valida
250291;Thereva cinifera
241746;Braula coeca
236253;Conops vesicularis
236254;Conops strigatus
236255;Conops quadrifasciatus
236256;Conops flavipes
100795;Dalmannia punctata
236251;Leopoldius signatus
236236;Myopa vicaria
236240;Myopa variegata
236241;Myopa testacea
236242;Myopa tessellatipennis
236243;Myopa hirsuta
236246;Myopa fasciata
236247;Myopa pellucida
236250;Myopa buccata
101568;Physocephala vittata
236230;Physocephala rufipes
236231;Physocephala nigra
236229;Sicus ferrugineus
236223;Thecophora cinerascens
236225;Thecophora jakutica
236226;Thecophora fulvipes
236227;Thecophora distincta
236228;Thecophora atra
250297;Zodion cinereum
239931;Argyra subarctica
239950;Chrysotus blepharosceles
239951;Chrysotus cilipes
239952;Chrysotus cupreus
239953;Chrysotus femoratus
239954;Chrysotus gramineus
239955;Chrysotus laesus
239957;Chrysotus neglectus
239958;Chrysotus obscuripes
239959;Chrysotus palustris
239960;Chrysotus pulchellus
239961;Chrysotus ringdahli
239962;Chrysotus suavis
100761;Cryptophlebs kerteszi
239963;Diaphorus hoffmannseggi
239964;Diaphorus nigricans
239965;Diaphorus oculatus
239969;Dolichopus annulitarsis
239973;Dolichopus armillatus
239980;Dolichopus brevipennis
239982;Dolichopus calinotus
239983;Dolichopus campestris
239984;Dolichopus cilifemoratus
239990;Dolichopus costalis
250294;Dolichopus discimanus
239998;Dolichopus festivus
239996;Dolichopus fraterculus
240018;Dolichopus maculipennis
240019;Dolichopus mannerheimi
240024;Dolichopus migrans
250295;Dolichopus nigricornis
240028;Dolichopus nigripes
240036;Dolichopus picipes
240039;Dolichopus plumitarsis
240042;Dolichopus pseudomigrans
240044;Dolichopus remipes
240046;Dolichopus ruthei
240057;Dolichopus ungulatus
240058;Dolichopus urbanus
240061;Dolichopus vitripennis
240062;Dolichopus zetterstedti
6045547;Hercostomus conformis
240077;Hercostomus germanus
240081;Hercostomus nigripennis
240083;Hercostomus rothi
240164;Poecilobothrus nobilitatus
240210;Sybistroma crinipes
240211;Sybistroma discipes
