taxonID;name;vernacular;Observationer
234663;Agallia consobrina;;10
234889;Cicadula ornata;;10
234894;Thamnotettix dilutior;;10
234829;Balclutha calamagrostis;;10
234824;Opsius stactogalus;;10
234961;Verdanus limbatellus;;10
234810;Eupteryx tenella;;10
234589;Chloriona glaucescens;;10
234605;Muellerianella fairmairei;;10
250404;Struebingianella lugubrina;;10
234567;Kelisia vittipennis;;10
226655;Elatophilus nigricornis;;10
226163;Loricula coleoptrata;;10
101478;Orthotylus rubidus;saltörtskinnbagge;10
226374;Psallus graminicola;;10
226403;Tytthus pubescens;;10
6324594;Aphis verbasci;;10
258324;Brachycaudus tragopogonis;;10
245988;Chaetosiphon tetrarhodum;;10
246253;Microsiphum wahlgreni;;10
6331696;Myzocallis walshii;;10
246270;Myzus ascalonicus;;10
246277;Neoamphorophora ledi;;10
258402;Uroleucon murale;;10
258407;Calaphis betulicola;;10
246006;Cinara laricis;;10
256731;Diaspidiotus bavaricus;;10
201195;Daphnis nerii;oleandersvärmare;10
102391;Epermenia profugella;bockrotsskärmmal;10
102424;Elachista biatomella;slankstarrsgräsmal;10
100327;Dactylotula kinkerella;sandrörsflikmal;10
216324;Sitotroga cerealella;majsmal;10
100877;Dystebenna stephensi;ekbrokmal;10
6004676;Callisto insperatella;häggveckmal;10
214092;Phyllonorycter rolandi;lappvideguldmal;10
6331750;Phyllocnistis saligna;pilsaftmal;10
6331748;Stigmella nivenburgensis;vitpilsdvärgmal;10
213867;Ectoedemia decentella;tysklönnsfruktdvärgmal;10
101591;Buszkoiana capnodactyla;pestskråpsfjädermott;10
216319;Opogona sacchari;bananmal;10
102432;Endothenia hebesana;stormhattsrotvecklare;10
102485;Pristerognatha penthinana;springkornsrotvecklare;10
214897;Acleris implexana;rostgrå vårvecklare;10
6331433;Pinus densiflora;japansk tall;10
264313;Iris × hollandica;holländsk iris;10
259695;Bulbine semibarbata;bulbine;10
220409;Allium angulosum;rysslök;10
6051604;Narcissus moschatus;myskpåsklilja;10
6010521;Hosta minor;pyttefunkia;10
224800;Luzula campestris × pallescens;knippfryle × blekfryle;10
6010525;Carex nigra subsp. juncella × nigra subsp. nigra;styltstarr × vanlig hundstarr;10
222423;Dinebra retroflexa;julgransgräs;10
222655;Rostraria cristata;borstäxing;10
265212;Spartina × townsendii;hybridmarskgräs;10
222713;Triticum turgidum;emmervete;10
224747;Festuca rubra × Lolium perenne;rödsvingel × engelskt rajgräs;10
259670;Corydalis linstowiana;linstownunneört;10
6002777;Eschscholzia lobbii;dvärgsömntuta;10
265230;Epimedium pinnatum;guldgul sockblomma;10
224910;Pulsatilla pratensis × vernalis;fältsippa × mosippa;10
266304;Ranunculus acutiusculus;;10
266349;Ranunculus carnosulus;;10
266378;Ranunculus dimidiatus;;10
266468;Ranunculus nannfeldtii;;10
266476;Ranunculus obscurisepalus;;10
266512;Ranunculus polycarpus;;10
223364;Ribes biebersteinii;kaukasiskt vinbär;10
222501;Hippocrepis comosa;hästskoklöver;10
221252;Medicago intertexta;flätlusern;10
221282;Melilotus siculus;marsksötväppling;10
221337;Trifolium pannonicum;ungersk klöver;10
259731;Eriobotrya japonica;japansk mispel;10
