Taxon id;Global sorteringsordning;Vetenskapligt namn;Svenskt namn;Kategori;Observationer;Landskapstyp;RedListCategory;Rödlistningskriterium
227592;1131;Jasmineira caudata;;Art;35;Marin miljö (M) - Stor betydelse;VU;D2
227448;1498;Alkmaria romijni;;Art;110;Brackvatten (B) - Stor betydelse;NT;"B2a; D2"
227470;1530;Eclysippe eliasoni;;Art;53;Marin miljö (M) - Stor betydelse;NT;D2
227474;1538;Lysippe fragilis;;Art;26;Marin miljö (M) - Stor betydelse;EN;B1ab(iii)
227485;1563;Sosane wireni;;Art;12;Marin miljö (M) - Stor betydelse;VU;D2
227537;1590;Amaeana trilobata;;Art;49;Marin miljö (M) - Stor betydelse;VU;D2
227549;1605;Polycirrus norvegicus;;Art;17;Marin miljö (M) - Stor betydelse;NT;D2
227506;1624;Eupolymnia nesidensis;;Art;53;Marin miljö (M) - Stor betydelse;VU;B1ab(i,ii,iii)+2ab(i,ii,iii)
101516;2661;Pauropus lanceolatus;lansettfåfoting;Art;0;Skog (S) - Stor betydelse, Urban miljö (U) - Har betydelse;NT;B2a
200841;2677;Decapauropus multiplex;spatelfåfoting;Art;0;Skog (S) - Stor betydelse;NT;"B2a; D2"
100242;2681;Decapauropus verticillatus;kransfåfoting;Art;9;Skog (S) - Stor betydelse;NT;B2a
101369;2721;Nanogona polydesmoides;kölfoting;Art;19;Skog (S) - Stor betydelse, Urban miljö (U) - Har betydelse;NT;"B1a+2a; D2"
101279;2787;Megaphyllum sjaelandicum;skuggkejsarfoting;Art;2;Skog (S) - Stor betydelse, Våtmark (V) - Har betydelse;CR;B1ab(ii,iii,v)+2ab(ii,iii,v)
200883;2817;Julus scanicus;ålkejsarfoting;Art;23;Skog (S) - Stor betydelse, Våtmark (V) - Stor betydelse;VU;B1ab(ii,iii,iv)+2ab(ii,iii,iv)
200897;2835;Geophilus carpophagus;klippjordkrypare;Art;95;Skog (S) - Stor betydelse, Våtmark (V) - Stor betydelse, Urban miljö (U) - Har betydelse;NT;B2a
200923;2896;Lithobius lapidicola;dvärgstenkrypare;Art;40;Skog (S) - Stor betydelse, Urban miljö (U) - Stor betydelse;NT;B2a
200925;2897;Lithobius lucifugus;ölandsstenkrypare;Art;29;Jordbrukslandskap (J) - Stor betydelse;NT;D2
102202;3587;Brachinus crepitans;bombarderbagge;Art;187;Jordbrukslandskap (J) - Stor betydelse, Urban miljö (U) - Stor betydelse;VU;B2ab(iii,iv)
100534;3598;Callisthenes reticulatus;alvarlarvmördare;Art;2;Jordbrukslandskap (J) - Stor betydelse;EN;B1ab(iii)+2ab(iii)
100533;3601;Calosoma maderae;hedlarvmördare;Art;1;Jordbrukslandskap (J) - Stor betydelse, Urban miljö (U) - Har betydelse;CR;B2ab(iii)
100541;3615;Carabus convexus;kullerlöpare;Art;107;Jordbrukslandskap (J) - Stor betydelse, Havsstrand (H) - Har betydelse, Urban miljö (U) - Har betydelse;VU;B2ab(iii)
100542;3621;Carabus intricatus;bokskogslöpare;Art;156;Skog (S) - Stor betydelse;VU;B1ab(iii)+2ab(iii)
100649;3644;Cicindela maritima;strandsandjägare;Art;515;Havsstrand (H) - Stor betydelse, Våtmark (V) - Stor betydelse;VU;B2b(iii)c(iii,iv)
102234;3666;Elaphrus uliginosus;bred groplöpare;Art;118;Havsstrand (H) - Stor betydelse, Våtmark (V) - Stor betydelse, Jordbrukslandskap (J) - Har betydelse, Urban miljö (U) - Har betydelse;NT;B2b(iii)
100615;3672;Chlaenius costulatus;praktsammetslöpare;Art;32;Våtmark (V) - Stor betydelse, Jordbrukslandskap (J) - Har betydelse;VU;B2ab(iii)
100616;3674;Chlaenius nigricornis;guldgrön sammetslöpare;Art;560;Våtmark (V) - Stor betydelse, Jordbrukslandskap (J) - Har betydelse, Urban miljö (U) - Har betydelse;NT;B2b(iii)
100617;3676;Chlaenius nitidulus;lersammetslöpare;Art;55;Havsstrand (H) - Stor betydelse, Våtmark (V) - Stor betydelse, Jordbrukslandskap (J) - Har betydelse;EN;B1ab(iii)c(iv)
100618;3677;Chlaenius quadrisulcatus;strimmig sammetslöpare;Art;26;Våtmark (V) - Stor betydelse, Jordbrukslandskap (J) - Har betydelse;VU;B2ab(iii)
100619;3679;Chlaenius sulcicollis;träsksammetslöpare;Art;20;Våtmark (V) - Stor betydelse, Jordbrukslandskap (J) - Har betydelse;VU;B2ab(iii)
100620;3681;Chlaenius tristis;brun sammetslöpare;Art;147;Våtmark (V) - Stor betydelse, Havsstrand (H) - Har betydelse, Jordbrukslandskap (J) - Har betydelse, Urban miljö (U) - Har betydelse;NT;B2b(iii)
102261;3727;Harpalus anxius;smal frölöpare;Art;730;Jordbrukslandskap (J) - Stor betydelse, Havsstrand (H) - Har betydelse, Urban miljö (U) - Har betydelse;NT;B2b(iii)
101045;3730;Harpalus autumnalis;höstfrölöpare;Art;51;Jordbrukslandskap (J) - Stor betydelse, Havsstrand (H) - Har betydelse, Urban miljö (U) - Har betydelse;CR;B1ab(iii)+2ab(iii)
101046;3731;Harpalus calceatus;trädesfrölöpare;Art;167;Jordbrukslandskap (J) - Stor betydelse, Urban miljö (U) - Har betydelse;NT°;B2b(iii)c(iii,iv)
101047;3735;Harpalus flavescens;gul frölöpare;Art;218;Jordbrukslandskap (J) - Stor betydelse, Urban miljö (U) - Har betydelse;EN;B1ab(iii,iv)+2ab(iii,iv)
101048;3736;Harpalus froelichii;klumpfrölöpare;Art;158;Jordbrukslandskap (J) - Stor betydelse, Urban miljö (U) - Har betydelse;VU;B2b(iii)c(iv)
101049;3737;Harpalus griseus;sammetsfrölöpare;Art;273;Jordbrukslandskap (J) - Stor betydelse, Urban miljö (U) - Har betydelse;NT°;B2b(iii)c(iii,iv)
101050;3738;Harpalus hirtipes;platt frölöpare;Art;145;Jordbrukslandskap (J) - Stor betydelse, Urban miljö (U) - Har betydelse;EN;B2ab(iii,iv)
102262;3742;Harpalus luteicornis;kustfrölöpare;Art;11;Havsstrand (H) - Stor betydelse, Jordbrukslandskap (J) - Stor betydelse;VU;B2ab(iii)
101051;3743;Harpalus melancholicus;dysterfrölöpare;Art;126;Havsstrand (H) - Stor betydelse, Jordbrukslandskap (J) - Stor betydelse, Urban miljö (U) - Har betydelse;VU;B2ab(iii)
102263;3745;Harpalus neglectus;dynfrölöpare;Art;159;Havsstrand (H) - Stor betydelse, Jordbrukslandskap (J) - Stor betydelse;NT;B2b(iii)
102265;3747;Harpalus picipennis;knubbfrölöpare;Art;140;Jordbrukslandskap (J) - Stor betydelse, Urban miljö (U) - Har betydelse;VU;B2ab(iii)
101052;3751;Harpalus rufipalpis;hedfrölöpare;Art;165;Jordbrukslandskap (J) - Stor betydelse, Urban miljö (U) - Har betydelse;NT;B2b(iii)
101053;3754;Harpalus servus;oval frölöpare;Art;273;Jordbrukslandskap (J) - Stor betydelse, Havsstrand (H) - Har betydelse, Urban miljö (U) - Har betydelse;NT;B2b(iii)
102266;3758;Harpalus subcylindricus;alvarfrölöpare;Art;93;Jordbrukslandskap (J) - Stor betydelse, Urban miljö (U) - Har betydelse;VU;B2ab(iii)
102318;3768;Ophonus azureus;azurlöpare;Art;150;Jordbrukslandskap (J) - Stor betydelse, Urban miljö (U) - Har betydelse;NT;B2b(iii)
101462;3773;Ophonus puncticollis;hjärthalsad väglöpare;Art;49;Jordbrukslandskap (J) - Stor betydelse, Urban miljö (U) - Stor betydelse;VU;B2ab(iii)
102223;3797;Cymindis humeralis;blank skulderlöpare;Art;104;Jordbrukslandskap (J) - Stor betydelse;EN;B2ab(iii)
102224;3798;Cymindis macularis;dynskulderlöpare;Art;96;Havsstrand (H) - Stor betydelse, Jordbrukslandskap (J) - Stor betydelse, Urban miljö (U) - Har betydelse;NT;B2ab(iii)
101183;3816;Lebia cyanocephala;blå örtlöpare;Art;75;Jordbrukslandskap (J) - Stor betydelse, Urban miljö (U) - Har betydelse;EN;B2ab(iii)c(iv)
100439;3847;Badister meridionalis;vätbroklöpare;Art;66;Jordbrukslandskap (J) - Stor betydelse, Våtmark (V) - Stor betydelse;VU;B2b(iii)c(iv)
100210;3903;Limodromus krynickii;sumpskogslöpare;Art;154;Skog (S) - Stor betydelse, Våtmark (V) - Stor betydelse, Jordbrukslandskap (J) - Har betydelse;NT;B2ab(iii)
100211;3904;Limodromus longiventris;älvängslöpare;Art;46;Skog (S) - Stor betydelse, Våtmark (V) - Stor betydelse;CR;B1ab(iii)c(iv)+2ab(iii)c(iv)
100213;3913;Platynus mannerheimii;granskugglöpare;Art;46;Skog (S) - Stor betydelse, Våtmark (V) - Stor betydelse;NT;B2ab(iii)
101671;3930;Poecilus punctulatus;matt sollöpare;Art;25;Jordbrukslandskap (J) - Stor betydelse, Urban miljö (U) - Stor betydelse;EN;B2ab(iii,iv)c(iv)
101165;3993;Laemostenus terricola;källarlöpare;Art;115;Jordbrukslandskap (J) - Stor betydelse, Urban miljö (U) - Stor betydelse;NT;B2ab(iii)
102163;4027;Amara infima;ljungkornlöpare;Art;121;Havsstrand (H) - Stor betydelse, Jordbrukslandskap (J) - Stor betydelse, Urban miljö (U) - Har betydelse;NT;B2ab(iii)
102164;4031;Amara littorea;matt kornlöpare;Art;26;Jordbrukslandskap (J) - Stor betydelse, Urban miljö (U) - Stor betydelse;VU;B2ab(iii)
103450;4036;Amara montivaga;blågrön kornlöpare;Art;65;Jordbrukslandskap (J) - Stor betydelse, Urban miljö (U) - Stor betydelse;VU;B2ab(iii)
102010;4054;Zabrus tenebrioides;axlöpare;Art;15;Jordbrukslandskap (J) - Stor betydelse, Urban miljö (U) - Stor betydelse;VU°;B1ab(iii)c(iv)+2ab(iii)c(iv)
103287;4074;Nebria livida;spöklöpare;Art;265;Havsstrand (H) - Stor betydelse, Våtmark (V) - Stor betydelse;VU;B2ab(iii)
103289;4075;Nebria nivalis;snölöpare;Art;106;Fjäll (F) - Stor betydelse, Våtmark (V) - Stor betydelse;NT;B2b(iii)
100666;4102;Clivina collaris;brokig mullvadslöpare;Art;42;Våtmark (V) - Stor betydelse, Havsstrand (H) - Har betydelse, Urban miljö (U) - Har betydelse;EN;B1ab(iii)+2ab(iii)
100871;4106;Dyschirius angustatus;mjälgrävare;Art;53;Våtmark (V) - Stor betydelse, Havsstrand (H) - Har betydelse, Urban miljö (U) - Har betydelse;NT;B2ab(iii)
100872;4107;Dyschirius chalceus;saltgrävare;Art;29;Havsstrand (H) - Stor betydelse, Våtmark (V) - Stor betydelse, Jordbrukslandskap (J) - Har betydelse, Urban miljö (U) - Har betydelse;EN;B2ab(iii)c(iv)
100873;4110;Dyschirius impunctipennis;dyngrävare;Art;32;Havsstrand (H) - Stor betydelse, Våtmark (V) - Stor betydelse;EN;B2ab(iii)c(iv)
100874;4111;Dyschirius intermedius;ågrävare;Art;69;Våtmark (V) - Stor betydelse, Havsstrand (H) - Har betydelse, Urban miljö (U) - Har betydelse;NT;B2b(iii)
100875;4112;Dyschirius laeviusculus;brantgrävare;Art;5;Våtmark (V) - Stor betydelse, Havsstrand (H) - Har betydelse, Urban miljö (U) - Har betydelse;EN;B1ab(iii)c(iv)+2ab(iii)c(iv)
100466;4140;Bembidion argenteolum;silverlöpare;Art;125;Våtmark (V) - Stor betydelse;VU;B2ab(iii)
100465;4149;Bembidion bualei;havsstrandlöpare;Art;60;Havsstrand (H) - Stor betydelse, Våtmark (V) - Stor betydelse;VU;B2ab(iii)
100468;4183;Bembidion humerale;torvlöpare;Art;72;Våtmark (V) - Stor betydelse, Skog (S) - Har betydelse, Urban miljö (U) - Har betydelse;VU;B2b(iii)c(iv)
208475;4197;Bembidion mckinleyi;blågrön strandlöpare;Art;31;Fjäll (F) - Stor betydelse, Våtmark (V) - Stor betydelse;NT;B2b(iii)
102196;4202;Bembidion nigricorne;ljungkvicklöpare;Art;82;Urban miljö (U) - Stor betydelse, Havsstrand (H) - Har betydelse, Jordbrukslandskap (J) - Har betydelse, Skog (S) - Har betydelse, Våtmark (V) - Har betydelse;NT;B2ab(iii,iv)
102197;4211;Bembidion petrosum;älvstrandlöpare;Art;12;Fjäll (F) - Stor betydelse, Våtmark (V) - Stor betydelse;EN;B2ab(iii)c(iv)
100470;4220;Bembidion ruficolle;gul strandlöpare;Art;149;Urban miljö (U) - Stor betydelse, Våtmark (V) - Stor betydelse;NT;B2b(iii)
100471;4225;Bembidion semipunctatum;brokstrandlöpare;Art;88;Våtmark (V) - Stor betydelse;VU;B2ab(iii)
100472;4226;Bembidion stephensii;källkvicklöpare;Art;104;Havsstrand (H) - Stor betydelse, Våtmark (V) - Stor betydelse, Urban miljö (U) - Har betydelse;NT;B2b(iii)
100469;4249;Ocys quinquestriatus;murlöpare;Art;25;Urban miljö (U) - Stor betydelse;VU;B2ab(iii)
101515;4267;Patrobus australis;lövsumplöpare;Art;40;Våtmark (V) - Stor betydelse, Skog (S) - Har betydelse, Urban miljö (U) - Har betydelse;NT;B2b(iii)
101611;4274;Pogonus luridipennis;gulvingad saltlöpare;Art;41;Havsstrand (H) - Stor betydelse;EN;B1ab(iii)c(iv)+2ab(iii)c(iv)
100183;4278;Aepus marinus;tidvattenslöpare;Art;35;Havsstrand (H) - Stor betydelse;NT;B2ab(iii)
101527;4282;Perileptus areolatus;dvärgstrandlöpare;Art;59;Våtmark (V) - Stor betydelse;NT;B2b(iii)
100187;4312;Agabus clypealis;;Art;100;Sötvatten (L) - Stor betydelse, Våtmark (V) - Stor betydelse;VU;B1ab(iii)c(iv)+2ab(iii)c(iv)
102331;4372;Rhantus bistriatus;;Art;39;Sötvatten (L) - Stor betydelse, Våtmark (V) - Stor betydelse, Jordbrukslandskap (J) - Har betydelse;NT;B2b(iii)
101705;4375;Rhantus fennicus;finsk gulbuk;Art;15;Sötvatten (L) - Stor betydelse;NT;B2b(iii)
100878;4406;Dytiscus circumflexus;;Art;25;Sötvatten (L) - Stor betydelse;NT;B2b(iii)
101084;4415;Hydaticus continentalis;;Art;68;Sötvatten (L) - Stor betydelse, Våtmark (V) - Stor betydelse, Jordbrukslandskap (J) - Har betydelse;EN;B2ab(iii,iv)
101157;4541;Laccophilus biguttatus;;Art;18;Sötvatten (L) - Stor betydelse, Våtmark (V) - Stor betydelse;NT;B2ab(iii)
101158;4544;Laccophilus poecilus;;Art;18;Brackvatten (B) - Stor betydelse, Sötvatten (L) - Stor betydelse, Våtmark (V) - Stor betydelse, Havsstrand (H) - Har betydelse;VU;B2ab(iii)
101521;4597;Peltodytes caesus;;Art;44;Sötvatten (L) - Stor betydelse, Våtmark (V) - Stor betydelse;NT;B2b(iii)
101913;4613;Trachypachus zetterstedti;nordglanslöpare;Art;21;Skog (S) - Stor betydelse;VU;B2ab(iii)
102308;4618;Sphaerius acaroides;;Art;27;Våtmark (V) - Stor betydelse, Urban miljö (U) - Har betydelse;NT;B2b(iii)
100500;4625;Bostrichus capucinus;rödvingad kapuschongbagge;Art;196;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse, Urban miljö (U) - Har betydelse;VU;B2ab(iii)
101849;4659;Stephanopachys linearis;slät tallkapuschongbagge;Art;855;Skog (S) - Stor betydelse;NT;B2b(iii)c(iii,iv)
101850;4661;Stephanopachys substriatus;grov tallkapuschongbagge;Art;263;Skog (S) - Stor betydelse;VU;B2b(iii)c(iii,iv)
102297;4669;Lyctus linearis;eksplintbagge;Art;148;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse;VU;B2ab(iii)
100431;4685;Attagenus punctatus;;Art;33;Skog (S) - Stor betydelse, Jordbrukslandskap (J) - Har betydelse, Urban miljö (U) - Har betydelse;VU;B1ab(iii)+2ab(iii)
105247;4701;Dermestes gyllenhalii;;Art;69;Havsstrand (H) - Stor betydelse, Våtmark (V) - Stor betydelse;NT;B2ab(iii)
100813;4709;Dermestes palmi;urskogsänger;Art;111;Skog (S) - Stor betydelse;VU;B2ab(iii,iv)
100997;4729;Globicornis corticalis;barkänger;Art;55;Skog (S) - Stor betydelse, Jordbrukslandskap (J) - Har betydelse;NT;B2ab(iii)
100998;4732;Globicornis nigripes;;Art;125;Skog (S) - Stor betydelse, Jordbrukslandskap (J) - Har betydelse, Urban miljö (U) - Har betydelse;NT;B2ab(iii)
101280;4734;Megatoma pubescens;ljus tallänger;Art;4;Skog (S) - Stor betydelse;VU;B2ab(iii)
101929;4758;Trinodes hirtus;;Art;147;Skog (S) - Stor betydelse, Jordbrukslandskap (J) - Har betydelse, Urban miljö (U) - Har betydelse;NT;B2ab(iii)
101408;4761;Nosodendron fasciculare;;Art;98;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse, Urban miljö (U) - Har betydelse;EN;B2ab(iii,iv)
100297;4776;Hemicoelus costatus;gråbandad trägnagare;Art;282;Skog (S) - Stor betydelse, Jordbrukslandskap (J) - Har betydelse;NT;B2ab(iii)
100298;4777;Hemicoelus fulvicornis;;Art;280;Skog (S) - Stor betydelse, Jordbrukslandskap (J) - Har betydelse, Urban miljö (U) - Har betydelse;NT;B2ab(iii)
101032;4785;Hadrobregmus confusus;nordlig trägnagare;Art;96;Skog (S) - Stor betydelse, Urban miljö (U) - Har betydelse;VU;B2ab(iii)
101622;4789;Priobium carpini;;Art;23;Jordbrukslandskap (J) - Stor betydelse, Urban miljö (U) - Stor betydelse, Skog (S) - Har betydelse;NT;B1ab(iii,iv)+2ab(iii,iv)
101446;4795;Oligomerus brunneus;;Art;54;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse;VU;B2ab(iii)
101816;4801;Stagetus borealis;timmertickgnagare;Art;345;Skog (S) - Stor betydelse;NT;B2ab(iii,iv)
